crop_name,soil_type,crop_age_days,day_of_year,temperature_C,humidity_%,rainfall_mm,effective_rainfall_mm,solar_radiation_MJ_m2_day,wind_speed_m_s,field_capacity_%,wilting_point_%,soil_moisture_%,reference_evapotranspiration_ET0_mm_day,crop_coefficient_Kc,application_efficiency_%,root_zone_depth_m,available_water_content_mm_per_m,irrigation_interval_days,p_fraction,irrigate,irrigation_amount_m3
Tomato,Sandy,55,324,19.9,74.79,1.08,0.55,18.94,2.72,27.09,12.58,20.25,2.249,1.05,70.42,0.694,135.58,7,0.387,1,251.6741
Wheat,Silty,96,89,19.39,61.01,2.07,1.21,27.04,3.2,34.32,15.8,31.57,2,0.544,64.13,0.347,115.47,3,0.3,0,0
Maize,Sandy,36,161,30.2,93.53,2.11,1.27,29.09,1.54,27.2,13.68,19.09,2.574,0.946,82.43,0.533,103.85,8,0.536,1,202.6717
Tomato,Silty,114,334,20.59,51.75,4.61,3.06,27.12,2.03,26.06,16.18,23.85,2.502,0.63,73.99,1.15,131.45,8,0.562,0,0
Tomato,Silty,37,75,36.59,93.87,0.4,0.35,7.68,3.57,28.19,16.94,21,2.745,0.915,61.72,1.135,124.15,10,0.405,1,588.5058
Wheat,Sandy,112,281,15.25,34.22,0.26,0.17,20.78,3.21,24.8,12.06,13.62,2,0.45,60.5,0.885,89.35,1,0.359,1,702.5005
Maize,Clayey,14,7,15.13,74.44,1.54,1.4,16.04,2.16,37.6,22.55,30.61,2.19,0.578,61.66,0.467,80.63,9,0.402,1,208.7653
Maize,Silty,27,113,26.61,59.52,6.55,4.25,8.14,1,25.36,16.49,22.69,2,0.835,80.17,0.386,139.5,1,0.556,0,0
Tomato,Sandy,83,36,26.23,83.44,5.8,3.21,18.88,2.04,21.63,9.59,13.71,2,0.832,66.03,1.155,165.84,4,0.363,1,532.6096
Rice,Loamy,31,266,18.76,81.33,2.46,1.57,13.92,0.7,30.01,16.57,23.15,2,1.008,83.33,1.086,140.88,1,0.582,0,0
Tomato,Sandy,110,113,26.37,82.01,6.59,2.78,13.64,3.11,23.88,9.64,17.86,2,0.63,75.39,0.658,112.64,9,0.414,1,227.1851
Tomato,Loamy,73,292,24.47,36.16,4.91,3.52,7.36,1.95,32.3,19.46,28.75,2,0.91,77.42,0.867,95.32,3,0.545,0,0
Tomato,Silty,102,223,35.48,83.45,0.98,0.4,29.47,2.21,28.26,16.33,20.26,2.935,0.63,65.09,1.123,153.91,9,0.404,1,618.5891
Tomato,Sandy,81,211,15.21,43.91,0.56,0.5,23.15,3.09,22.37,13.66,19.4,2,0.848,86.33,0.424,150.22,3,0.541,0,0
Wheat,Sandy,83,18,37.45,31.67,1.07,0.78,12.01,3.12,26.78,13.29,17.5,2.092,0.687,74.14,0.873,164.69,6,0.576,1,479.6954
Maize,Loamy,44,241,29.36,44.15,0.77,0.67,27.94,3.15,34.4,19.4,25,2.328,1.014,72.37,1.128,178.29,10,0.479,1,623.4892
Wheat,Sandy,68,134,18.49,61.15,2.92,2.34,28.7,2.71,23.74,12.21,12.89,3.282,0.852,83.86,1.053,91.21,6,0.58,0,0
Wheat,Sandy,48,220,16.08,78.24,2.64,1.71,25.26,2.7,26.4,14.67,22.35,2.609,1.034,60.98,0.558,106.46,9,0.378,1,172.4717
Wheat,Silty,57,102,27.38,44.21,2.74,1.34,21.48,4.2,26.35,12.81,16.69,2.182,0.973,75.54,1.157,114.38,8,0.369,1,549.841
Tomato,Sandy,75,140,20.4,37.35,0.63,0.4,14.41,2.6,24.62,14.43,23.03,2,0.894,81.61,0.483,133.77,8,0.354,1,6.3662
Rice,Clayey,22,169,21.93,71.99,4.71,4.41,15.86,2.91,35.22,19.93,26.55,2.151,0.893,83.86,0.488,85.32,5,0.576,0,0
Maize,Loamy,4,191,20.64,93.95,1.71,0.71,16.38,4.95,32.84,16.52,21.07,2.331,0.379,64.67,0.387,107.58,1,0.483,1,296.9816
Rice,Sandy,81,25,29.95,69.06,1.92,1.77,28.72,1.31,20.25,13.78,16.98,2.096,0.964,71.71,0.406,159.41,5,0.398,1,74.0624
Wheat,Loamy,72,33,27.73,74.92,17.39,14.97,24,3.77,30.09,17.39,29.08,3.865,0.808,69.63,0.985,84.84,8,0.401,0,0
Wheat,Loamy,46,343,16.79,66.48,0.99,0.58,12.3,2.63,30.56,18.99,22.09,2,1.018,89.76,0.548,161.79,4,0.471,1,205.8129
Rice,Loamy,59,329,27.11,80.85,1.5,1.05,20.62,4.24,37.47,18.61,37.46,2.886,1.164,82.05,1.082,98.46,3,0.3,0,0
Rice,Sandy,34,6,33.2,93.43,3.39,1.98,19.85,2.32,27.36,14.58,26.89,2,1.032,72.77,1.072,110.51,2,0.459,0,0
Rice,Sandy,11,194,16.87,65.37,6.37,6.14,25.3,1.86,24.17,14.03,21.05,2.581,0.646,66.45,0.405,151.81,10,0.358,0,0
Wheat,Loamy,31,230,35.46,57.09,0.41,0.23,7.38,1.44,31.84,17.26,26.82,2,0.898,65.22,0.779,156.46,4,0.357,1,252.3225
Wheat,Clayey,11,137,28.3,85.92,3.98,2.92,22.53,4.43,35.09,19.99,32.13,2.843,0.558,89.85,0.966,101.08,4,0.565,0,0
Maize,Loamy,120,323,36.86,93.03,7.51,5.68,13.28,3.73,34.58,19.55,23.23,2.646,0.54,77.5,0.914,120.54,2,0.516,1,515.0073
Maize,Clayey,118,216,18.41,38.4,1.65,1.54,8.24,0.85,38.17,22.71,30.31,2,0.54,81.73,0.393,104.19,2,0.59,0,0
Wheat,Loamy,56,349,37.85,67.58,1.01,0.94,23.29,3.71,38.34,16.63,31.21,3.497,0.984,64.72,0.59,131.33,9,0.442,0,0
Rice,Silty,38,364,29.82,81.51,3.4,2.51,13.29,0.66,26.69,15.55,26.17,2,1.064,82.46,0.851,145.24,3,0.351,0,0
Rice,Loamy,117,183,28.05,64.67,0.85,0.84,23.25,1.32,32.84,18.26,32.3,3.137,0.63,67.18,0.826,107.01,8,0.468,0,0
Maize,Loamy,21,168,26.85,56.6,1.45,1.23,9.06,3.17,31.35,15.76,24.69,2,0.716,82.86,1.033,126.21,8,0.499,0,0
Wheat,Sandy,110,282,15.54,72.59,6.82,4.18,29.65,2.59,26.76,14.81,23.78,2,0.45,87.43,0.35,133.58,9,0.561,0,0
Maize,Clayey,94,38,36.61,47.56,2.68,1.19,25.09,4.28,37.47,23,30.3,3.385,0.776,71.63,0.732,121.9,7,0.396,1,265.5148
Maize,Silty,10,163,29.81,52.69,0.3,0.13,12.23,3.24,30.32,17.06,28.18,2,0.498,87.1,1.064,131.39,1,0.344,0,0
Tomato,Clayey,26,142,17.11,94.5,1.2,0.82,23.51,4.84,38.89,24.8,31.21,2.622,0.832,73.93,1.194,94.4,9,0.501,1,513.4517
Tomato,Silty,91,248,15.48,71.37,2.96,1.29,8.39,4.35,25.82,17.91,22.28,2,0.77,84.26,0.416,84.05,4,0.404,1,73.0497
Tomato,Loamy,8,103,16.17,86.74,1.97,1.05,21.34,2.03,38.46,19.33,24.28,2,0.468,73.63,0.881,86.32,6,0.584,1,690.1205
Rice,Sandy,103,199,29.02,82.5,3.24,1.62,6.49,4.25,28.42,14.03,21.22,2.708,0.764,64.31,0.301,177.28,8,0.495,1,115.9198
Wheat,Sandy,8,200,29.12,72.4,4.3,3.03,13.33,4.41,28.15,14.3,20.36,2.237,0.474,80.06,0.615,87.39,6,0.457,1,240.8483
Wheat,Clayey,60,42,26.49,84.65,1.97,1.72,29.46,4.86,39.61,24.58,28.3,2.371,0.94,69.77,0.7,118.6,6,0.431,1,432.3269
Wheat,Sandy,72,147,22.06,48.67,13.02,6.03,8.02,0.56,23.85,13.1,23.31,2,0.808,62.27,0.611,159.16,6,0.353,0,0
Wheat,Clayey,119,66,27.23,71.41,7.38,3.99,19.94,4.44,42.1,23.75,24.1,2.431,0.45,79.55,0.862,165.06,8,0.405,1,739.618
Tomato,Clayey,34,193,26.87,68.39,0.19,0.09,6.77,0.81,42.38,18.25,42.38,2,0.892,77.37,0.314,106.85,3,0.458,0,0
Rice,Silty,16,298,15.45,70.46,0.93,0.53,21.74,2.88,32.39,12.14,19.23,2,0.758,87.9,1.117,144,1,0.576,1,587.3464
Rice,Clayey,105,38,21.5,40.96,1.07,0.95,11.97,2.37,40.33,23.87,34.84,2,0.745,62.62,0.587,152.4,10,0.437,0,0
Tomato,Silty,13,141,16.22,48.02,0.61,0.58,12.75,4.64,33.3,17.05,24.71,2,0.573,72.91,0.435,171.59,1,0.441,1,211.0817
Rice,Sandy,87,106,35.7,48.63,1.12,0.87,13.45,2.32,26.02,9.29,10.24,2.37,0.909,66.95,0.69,168.91,6,0.459,1,623.7945
Tomato,Clayey,76,152,31.68,69.13,1.66,1.53,10.13,3.18,40.08,21.61,24.93,2.329,0.887,74.53,0.763,123.51,5,0.393,1,566.4854
Wheat,Clayey,91,352,37.91,93.22,0.16,0.1,28.54,3.61,38.25,20.97,38.25,3.279,0.599,85.28,0.347,134.13,7,0.45,0,0
Tomato,Loamy,22,326,21.95,92.01,0.41,0.25,27.65,0.59,38.72,17.59,33.14,2.317,0.762,88.25,1.019,160.09,4,0.413,0,0
Wheat,Clayey,96,38,35.21,44.77,0.3,0.2,26.75,3.16,42.05,21.47,37.36,3.172,0.544,71.41,0.964,139.87,6,0.545,0,0
Wheat,Clayey,113,97,28.87,49.81,0.14,0.07,7.66,2.83,41.17,18.65,34.44,2.357,0.45,78.57,0.761,115.61,6,0.55,0,0
Maize,Loamy,27,108,25.42,32.34,1.97,1.95,10.84,3.17,39.31,17.18,20.58,2,0.835,67.07,0.467,175.04,2,0.477,1,570.0565
Tomato,Loamy,64,119,20.12,55.92,1.22,1.15,20.31,0.84,37.48,18.34,31.52,2,0.98,82.86,1.134,179.77,1,0.467,0,0
Maize,Sandy,2,151,31.98,84.25,8.22,4.31,29.26,0.75,27.99,8.24,18.77,2.869,0.34,87.2,1.015,173.3,1,0.486,1,72.695
Tomato,Clayey,109,74,35.8,89.52,0.33,0.3,20.12,1.3,44.35,23.81,30.27,2.641,0.63,74.29,0.51,114.57,8,0.466,1,419.2281
Tomato,Sandy,97,57,20.41,45.37,7.81,4.43,13.18,4.41,28.34,11.27,20.21,2.212,0.723,86.17,0.962,104.23,6,0.341,0,0
Maize,Sandy,26,335,19.03,47.28,0.27,0.17,25.44,2.1,27.96,12.03,26.23,2,0.816,89.51,0.391,129.31,8,0.533,0,0
Maize,Loamy,92,252,31.01,44.36,2.9,1.77,8.39,2.45,35.03,18.92,28.76,2.429,0.798,78.24,0.407,158.48,3,0.452,0,0
